# Source: NASA Exoplanet Archive, Table: pscomppars, Downloaded: 2025-07-22T12:47:51.984918 UTC
pl_name,hostname,sy_dist,ra,dec,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,discoverymethod,disc_year,pl_orbsmax,pl_orbeccen,pl_insol,pl_dens,gaia_id,sy_vmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,pl_massj,pl_radj,pl_orbincl,pl_orblper,st_mass,st_met,st_logg,st_age,sy_dist2,sy_plx,sky_coord.ra,sky_coord.dec
Kepler-334 d,Kepler-334,426.59,287.1406177,47.1151153,1.41,2.57,25.09849,656.0,5828.0,1.068,Transit,2014,0.168,0.0,39.475,5.04,Gaia DR2 2130661880308812800,12.834,11.409,,13.157,12.713,12.612,,0.126,88.88,,1.022,-0.012,4.385,2.75,426.59,2.31555,287.1406177,47.1151153
Kepler-279 c,Kepler-279,1037.4,287.391295,42.194822,4.3,49.4,35.736,774.0,6689.45,1.07,Transit,2013,0.2236,0.0,60.157,0.3,Gaia DR2 2102456726998624640,13.647,12.509,,13.869,13.589,13.518,0.155,0.384,87.09,,1.1,-0.1141,4.42,0.22,1037.4,0.935277,287.391295,42.194822
Kepler-251 d,Kepler-251,924.625,296.5662171,44.1058077,2.77,8.1,30.133001,536.0,5526.0,0.89,Transit,2014,0.182,0.0,17.477,2.09,Gaia DR2 2078832551450444032,15.541,13.632,,15.783,15.187,14.983,,0.247,88.21,,0.891,-0.06,4.486,2.0,924.625,1.05376,296.5662171,44.1058077
Kepler-729 b,Kepler-729,1921.15,286.3600604,45.4142664,3.58,12.5,3.166353714,1273.0,5633.0,0.91,Transit,2016,0.0432,0.0,1089.549,1.5,Gaia DR2 2106432870280171136,15.567,14.086,,16.092,15.541,15.393,,0.31938621,89.76,,0.94,-0.05,4.5,4.27,1921.15,0.4911,286.3600604,45.4142664
Kepler-687 b,Kepler-687,633.66,289.3154576,39.1532911,3.52,12.2,20.50586978,518.0,4841.0,0.73,Transit,2016,0.1326,0.0,15.648,1.54,Gaia DR2 2101000836165429504,15.695,13.216,,16.241,15.343,15.036,,0.31403337,89.62,,0.77,-0.04,4.6,5.5,633.66,1.54984,289.3154576,39.1532911
Kepler-119 b,Kepler-119,701.996,295.9463854,42.6588324,3.6,12.6,2.422082,1213.0,5595.0,0.839,Transit,2014,0.035,0.0,745.285,1.48,Gaia DR2 2077236713401973888,14.375,12.58,,14.761,14.164,14.011,,0.321,89.56,,0.918,0.01,4.567,3.63,701.996,1.39619,295.9463854,42.6588324
Kepler-1115 b,Kepler-1115,983.245,294.9917723,40.1443964,1.7,3.53,23.5540725,1381.0,8480.0,1.73,Transit,2016,0.2134,0.0,516.101,3.95,Gaia DR2 2076483616656410496,11.983,11.512,13.297,11.97,11.984,12.127,,0.15166384,88.34,,1.6,-0.51,4.17,1.12,983.245,0.989042,294.9917723,40.1443964
Kepler-1073 b,Kepler-1073,809.897,294.1527259,38.2330886,2.3,5.9,8.67888593,905.0,5792.0,1.0,Transit,2016,0.0805,0.0,128.55,2.66,Gaia DR2 2052069201482198784,14.749,12.924,,15.04,14.476,14.301,,0.20519226,89.38,,1.0,0.0,4.44,3.72,809.897,1.20622,294.1527259,38.2330886
HD 16175 b,HD 16175,59.859,39.2577379,42.0624526,12.8,1875.1876013,990.0,,5981.0,1.72,Radial Velocity,2009,2.12,0.6,,4.91,Gaia DR2 340028235795364864,7.297,5.853,,,,,5.9,1.14,59.0,221.5,1.63,0.3,4.18,3.3,59.859,16.6775,39.2577379,42.0624526
Kepler-405 b,Kepler-405,1065.08,291.4094615,38.3400107,2.08,4.98,10.613839,785.0,5818.0,0.893,Transit,2014,0.095,0.0,55.623,3.04,Gaia DR2 2052726984308676864,16.181,14.056,17.92,16.3423,15.7572,15.5623,,0.186,89.94,,0.873,-0.06,4.536,2.09,1065.08,0.91164,291.4094615,38.3400107
KIC 10001893 c,KIC 10001893,1672.94,287.3892308,46.9844491,,,0.32528,,27500.0,0.18,Orbital Brightness Modulation,2014,,,,,Gaia DR2 2130473176626619136,15.829,16.612,,15.483,15.967,16.308,,,,,0.47,-0.093,5.35,,1672.94,0.568678,287.3892308,46.9844491
Kepler-899 b,Kepler-899,1246.43,297.4825612,40.6807412,2.68,7.65,19.17891293,640.0,5595.0,0.91,Transit,2016,0.1392,0.0,62.198,2.18,Gaia DR2 2073746932220288256,15.713,13.615,,15.952,15.329,15.166,,0.23909359,89.99,,0.93,-0.06,4.49,4.07,1246.43,0.774428,297.4825612,40.6807412
Kepler-1255 b,Kepler-1255,1617.07,295.2392569,42.7264842,2.32,5.99,36.2919336,694.0,6018.0,1.12,Transit,2016,0.2226,0.0,39.671,2.64,Gaia DR2 2077911332502996224,15.308,13.692,,15.709,15.2,15.054,,0.20697654,90.0,,1.08,0.02,4.37,3.55,1617.07,0.590994,295.2392569,42.7264842
K2-55 b,K2-55,159.522,333.7518786,-17.2508002,3.82,14.0,2.849258,912.0,4456.0,0.63,Transit,2016,0.03486,0.07,115.0,1.38,Gaia DR2 6825931948041984256,13.519,10.471,,,,,,0.34079757,88.2,23.9,0.696,,4.673,,159.522,6.23997,333.7518786,-17.2508002
Kepler-1447 b,Kepler-1447,890.296,289.6434285,50.727016,2.9,8.75,56.6747285,522.0,5722.0,0.95,Transit,2016,0.2836,0.0,10.349,1.97,Gaia DR2 2133132276778226176,14.747,13.124,,15.139,14.6,14.486,,0.25872067,89.44,,0.97,-0.03,4.47,4.17,890.296,1.09459,289.6434285,50.727016
K2-108 b,K2-108,477.295,123.3818484,16.419516,5.33,59.4,4.733999,1360.0,5599.0,1.76,Transit,2017,0.0581,0.18,762.0,2.22,Gaia DR2 655794055300531456,12.339,10.561,15.6082,15.7535,15.5054,15.3456,0.186892363842306,0.47551075,86.13513,,1.17,0.36,4.02,7.8,477.295,2.06697,123.3818484,16.419516
TOI-220 b,TOI-220,90.7402,91.7996988,-61.9972098,3.03,13.8,10.695264,805.0,5298.0,0.858,Transit,2021,0.08911,0.032,66.8553,2.73,Gaia DR2 5481210874877547904,10.466,8.542,,,,,0.0434196556886119,0.27031896,87.88,248.0,0.825,-0.217,4.37,10.1,90.7402,10.9915,91.7996988,-61.9972098
HD 23472 d,HD 23472,39.0341,55.4590314,-62.7672667,0.75,0.55,3.97664,909.0,4684.0,0.71,Transit,2022,0.04298,0.07,117.0,7.5,Gaia DR2 4674216245427964416,9.73,7.207,,,,,0.00173049352382149,0.06691063,87.95,19.0,0.67,-0.2,4.53,,39.0341,25.5897,55.4590314,-62.7672667
HD 215497 c,HD 215497,40.5468,341.652714,-56.5997984,13.0,111.23994245,566.0,,5113.0,0.85,Radial Velocity,2009,1.31,0.47,,0.278,Gaia DR2 6504232472302122624,8.96,6.784,,,,,0.35,1.16,90.0,42.0,0.92,0.23,4.31,5.8,40.5468,24.6339,341.652714,-56.5997984
TOI-5726.01,TOI-5726,108.848,123.3950504,68.5745899,2.554,7.05,5.491125215,1093.03,5874.0,1.106,Transit,2024,0.062186,,338.95,2.33,Gaia DR2 1097091022864217472,9.736,8.23,,,,,,0.22785301,,,1.06,,4.37711,,108.848,9.15828,123.3950504,68.5745899
GJ 338 B b,GJ 338 B,6.33256,138.5916722,52.6835211,3.25,10.6,24.422,391.0,4014.0,0.58,Radial Velocity,2020,0.142,0.109,,1.7,Gaia DR2 1022456104850892928,7.7,4.136,,,,,,0.29,,204.3,0.64,-0.03,4.68,4.0,6.33256,157.885,138.5916722,52.6835211
TOI-2285 b,TOI-2285,42.409,332.5632644,58.7060934,1.77,19.5,13.635109,358.0,3491.0,0.464,Transit,2021,0.1363,0.3,3.91,,Gaia DR2 2199658670194983040,13.403,9.034,,,,,0.0613538612991255,0.1579091,89.66,56.0,0.454,-0.05,4.77262,,42.409,23.551,332.5632644,58.7060934
Kepler-279 d,Kepler-279,1037.4,287.391295,42.194822,3.1,37.5,54.414,574.0,6689.45,1.07,Transit,2013,0.2901,0.0,35.739,0.3,Gaia DR2 2102456726998624640,13.647,12.509,,13.869,13.589,13.518,0.118,0.277,87.09,,1.1,-0.1141,4.42,0.22,1037.4,0.935277,287.391295,42.194822
Kepler-659 b,Kepler-659,722.64,287.6081777,47.5096893,2.5,6.8,17.671796,513.0,4870.0,0.74,Transit,2016,0.1204,0.0,21.309,2.39,Gaia DR2 2130866904868424320,15.758,13.353,,16.379,15.503,15.203,,0.22303506,87.81,,0.79,0.02,4.6,3.24,722.64,1.35546,287.6081777,47.5096893
Kepler-903 b,Kepler-903,1369.24,288.7710137,40.6641771,2.01,4.7,10.3507721,842.0,5682.0,0.97,Transit,2016,0.09081,0.0,274.845,3.18,Gaia DR2 2101340791416961664,14.856,12.993,,15.175,14.595,14.438,,0.17932019,84.43,,0.98,0.05,4.46,4.79,1369.24,0.701622,288.7710137,40.6641771
TOI-411 c,HD 22946,62.7792,54.819538,-42.7630276,2.328,9.72,9.573083,931.0,6169.0,1.117,Transit,2022,0.1017,0.16,156.75,3.15,Gaia DR2 4848767461548943104,8.270001,6.981,,,,,0.0305825400937179,0.20769061,88.57,10.0,1.098,-0.08,4.47,2.5,62.7792,15.8999,54.819538,-42.7630276
Kepler-1118 b,Kepler-1118,888.325,299.9656619,44.1608805,2.74,7.95,38.6715075,502.0,5688.0,0.97,Transit,2016,0.2079,0.0,20.011,2.12,Gaia DR2 2076102635879020928,15.238,13.04,,15.615,14.891,14.651,,0.24444643,88.77,,0.96,0.0,4.46,4.07,888.325,1.09766,299.9656619,44.1608805
Kepler-133 c,Kepler-133,653.6,297.2778906,48.3203542,2.84,8.45,31.517586,663.0,5736.0,1.425,Transit,2014,0.204,0.0,67.161,2.03,Gaia DR2 2086718317558873984,12.896,11.32,,13.328,12.789,12.642,,0.253,88.8,,1.02,0.282,4.186,6.03,653.6,1.50292,297.2778906,48.3203542
Kepler-620 b,Kepler-620,1355.28,291.1593939,51.3348228,3.32,11.0,12.91375431,849.0,6155.0,1.22,Transit,2016,0.1053,0.0,219.051,1.65,Gaia DR2 2136210874976312192,14.844,13.284,,15.037,14.614,14.479,,0.29619056,85.45,,1.15,0.03,4.33,3.02,1355.28,0.709144,291.1593939,51.3348228
Kepler-92 b,Kepler-92,477.992,289.0860607,41.5630224,3.51,64.3,13.749,975.0,5883.0,1.7,Transit,2013,0.12232,0.17,257.776,2.098071,Gaia DR2 2102224661326132864,11.671,10.403,,12.481,11.679,,0.202,0.313,87.19,,1.21,0.1381,4.05,3.98,477.992,2.06347,289.0860607,41.5630224
HAT-P-51 b,HAT-P-51,440.089,21.0651251,32.8107,13.50682174,97.57332095,4.21802091,1168.2,5453.0,0.995,Transit,2015,0.05042,0.07,310.0,0.218,Gaia DR2 316706322857704960,13.51,11.614,,13.839,13.194,12.998,0.307,1.205,89.28,,0.961,0.302,4.4256,8.1,440.089,2.24399,21.0651251,32.8107
Kepler-179 b,Kepler-179,605.68,298.6636163,47.7619329,1.64,3.33,2.735926,1075.0,5302.0,0.759,Transit,2014,0.036,0.0,360.262,4.15,Gaia DR2 2086468453545432960,14.772,12.75,,15.241,14.556,14.344,,0.146,89.0,,0.893,0.12,4.613,1.74,605.68,1.62234,298.6636163,47.7619329
Kepler-1755 b,Kepler-1755,982.383,296.846092,40.1385777,5.91688317,29.4,24.81209946,631.0,6086.0,0.921,Transit,2021,0.1668,0.0,37.43,0.78,Gaia DR2 2073715630497465856,14.544,12.911,,14.813,14.32,14.185,,0.52786987,89.96,,1.003,-0.26,4.511,0.3,982.383,0.989745,296.846092,40.1385777
Kepler-396 c,Kepler-396,223.757,296.1328135,48.9773095,5.3,17.9,88.505,390.0,5656.0,1.06,Transit,2013,0.38946,0.0,5.244,0.661,Gaia DR2 2134847343119885440,12.259,10.285,,12.429,11.862,11.703,0.056,0.473,90.0,,0.85,0.1558,4.32,0.62,223.757,4.44064,296.1328135,48.9773095
Kepler-664 b,Kepler-664,1210.12,288.7549029,48.226203,2.66,7.56,2.525593315,1406.0,5754.0,1.02,Transit,2016,0.0374,0.0,652.435,2.21,Gaia DR2 2130969262529165184,15.663,13.952,,16.015,15.468,15.292,,0.23730931,85.41,,1.01,0.07,4.43,4.68,1210.12,0.797882,288.7549029,48.226203
Kepler-1123 b,Kepler-1123,704.323,294.5177291,50.6703927,1.67,3.43,4.33946454,1061.0,5500.0,0.9,Transit,2016,0.0497,0.0,190.016,4.05,Gaia DR2 2135239112857020032,14.933,13.105,,15.404,14.756,14.573,,0.14898742,84.46,,0.93,0.05,4.5,5.13,704.323,1.39116,294.5177291,50.6703927
Kepler-1098 b,Kepler-1098,1049.19,295.502673,43.2326992,1.3,2.24,2.543072855,1319.0,5794.0,0.99,Transit,2016,0.0358,0.0,995.67,5.6,Gaia DR2 2078019187720711424,14.886,13.07,,15.277,14.708,14.504,,0.11597823,88.18,,0.99,-0.02,4.45,3.98,1049.19,0.924665,295.502673,43.2326992
HAT-P-49 b,HAT-P-49,350.351,305.4413294,26.6926759,17.82231,699.226,2.69155,2131.0,6820.0,2.06,Transit,2014,0.04378,0.0,4392.03,0.75,Gaia DR2 1835842749465226368,10.205,9.346,,,,,2.2,1.59,86.2,90.0,2.22,0.07,4.1,1.5,350.351,2.82576,305.4413294,26.6926759
XO-4 b,XO-4,272.655,110.3880285,58.2681094,14.01125,451.3186,4.12508,1630.0,6397.0,1.45,Transit,2010,0.05524,0.0,1112.27,0.83,Gaia DR2 990291507088739072,10.814,9.406,,,,,1.42,1.25,88.8,240.0,1.1,-0.04,4.18,2.1,272.655,3.63921,110.3880285,58.2681094
Kepler-1084 b,Kepler-1084,405.533,290.1019809,48.251146,1.11,1.41,2.05333679,1737.0,6113.0,1.28,Transit,2016,0.0324,0.0,1766.593,5.67,Gaia DR2 2129464546506876928,12.015,10.836,,12.524,12.176,12.086,,0.09902757,61.5,,1.12,-0.02,4.27,4.07,405.533,2.43758,290.1019809,48.251146
Kepler-520 b,Kepler-520,623.901,293.1802903,41.6177408,1.66,3.39,19.67416124,711.0,6112.0,1.09,Transit,2016,0.14628,0.0,59.77,4.07,Gaia DR2 2077598384004774912,12.798,11.488,,13.139,12.751,12.65,,0.14809528,87.05,,1.1,-0.03,4.41,2.04,623.901,1.3369812,293.1802903,41.6177408
nu Oph b,nu Oph,46.2107,269.7566013,-9.7741342,12.0,7057.73298,529.93,,4887.0,12.24,Radial Velocity,2012,1.765,0.126,,22.4,Gaia DR2 4164319171169516160,3.31216,1.225,,,,,22.206,1.07,90.0,9.4,2.61,0.1,2.64,0.65,46.2107,21.64,269.7566013,-9.7741342
Kepler-1895 b,Kepler-1895,984.187,291.6756005,48.7625419,2.11934728,5.14,6.070290089,789.0,5076.0,0.763,Transit,2021,0.0615,0.0,91.45,2.97,Gaia DR2 2129716192930293888,15.787,13.441,,16.244,15.406,15.165,,0.18907583,89.17,,0.86,0.1,4.598,1.2,984.187,0.987828,291.6756005,48.7625419
HD 171238 b,HD 171238,44.8113,278.6818389,-28.0727849,12.5,2796.8899816,1532.0,,5440.0,1.01,Radial Velocity,2009,2.57,0.234,,7.87,Gaia DR2 4048636941542753152,8.61,6.831,,,,,8.8,1.12,19.1,97.0,0.96,0.2,4.43,7.56,44.8113,22.2871,278.6818389,-28.0727849
Kepler-1669 b,Kepler-1669,543.444,297.4303826,39.8478795,2.78043818,8.15,9.51216,530.0,4303.0,0.714145,Transit,2020,0.0745,0.0,18.66,2.08,Gaia DR2 2073652546016392448,16.473,13.2,,17.151,15.868,15.416,,0.24805408,89.7,,0.67,-0.23,4.55657,13.9,543.444,1.81232,297.4303826,39.8478795
Kepler-339 d,Kepler-339,616.637,293.351701,48.4445922,1.17,14.7,10.558345,796.0,5631.0,0.802,Transit,2014,0.091,0.0,58.651,50.4,Gaia DR2 2128911251641171200,14.706,12.874,,15.054,14.469,14.307,0.046,0.104,89.23,,0.87,0.033,4.586,0.98,616.637,1.5932,293.351701,48.4445922
Kepler-351 d,Kepler-351,1083.91,286.4527949,42.6577891,2.72,7.85,142.544247,318.0,5225.0,0.78,Transit,2016,0.5177,0.0,1.989,2.14,Gaia DR2 2105491997566014336,16.229,14.097,,16.575,15.936,15.739,,0.24266215,89.99,,0.81,-0.16,4.58,4.9,1083.91,0.894576,286.4527949,42.6577891
HAT-P-29 b,HAT-P-29,313.576,33.1310921,51.7787754,13.11453,279.6904,5.72319,1271.0,6087.0,1.3,Transit,2011,0.0667,0.09,433.0,0.79,Gaia DR2 359058441314838528,11.825,10.297,,,,,0.88,1.17,87.1,159.0,1.45,0.21,4.34,2.2,313.576,3.16099,33.1310921,51.7787754
WASP-12 b,WASP-12,427.246,97.636645,29.6722662,22.02564708,467.2101,1.091418901,2601.0,6265.0,1.69,Transit,2008,0.0234,0.0447,8220.584,0.266,Gaia DR2 3435282862461427072,11.569,10.188,,,,,1.47,1.965,81.8,272.7,1.325,0.12,4.11,3.05,427.246,2.31224,97.636645,29.6722662
WASP-54 b,WASP-54,251.303,205.4542456,-0.1281712,17.71022,187.5197,3.69364,1759.0,6100.0,1.76,Transit,2012,0.04988,0.07,1639.1072,0.167,Gaia DR2 3661983850663908608,10.413,9.035,13.9063,10.7614,10.3119,10.2734,0.59,1.58,84.97,62.0,1.08,-0.27,4.0,6.9,251.303,3.95218,205.4542456,-0.1281712
WASP-88 b,WASP-88,523.756,309.5112337,-48.4620833,16.36514,133.4886,4.954,1772.0,6430.0,1.8,Transit,2014,0.06431,0.0,1489.5543,0.141,Gaia DR2 6482103014085857024,11.388,10.322,,,,,0.42,1.46,88.0,,0.94,-0.08,3.96,3.0,523.756,1.88108,309.5112337,-48.4620833
WASP-100 b,WASP-100,364.411,68.9598159,-64.027039,14.90797,400.4658,2.84938,2190.0,6900.0,1.57,Transit,2014,0.04574,0.0,2005.83,0.53,Gaia DR2 4675352109658261376,10.798,9.669,,,,,1.26,1.33,82.6,,0.77,-0.03,4.35,1.57,364.411,2.71534,68.9598159,-64.027039
Kepler-176 c,Kepler-176,527.321,294.6679021,43.8532104,2.6,1.33,12.759712,633.0,5232.0,0.891,Transit,2014,0.102,0.0,39.631,0.487,Gaia DR2 2078286197246582016,14.767,12.567,,15.237,14.472,14.255,0.00418464797578651,0.232,88.25,,0.86,0.13,4.474,2.45,527.321,1.86777,294.6679021,43.8532104
WASP-26 b,WASP-26,252.759,4.6030424,-15.2674044,13.56289,270.1555,2.7566,1650.0,6034.0,1.22,Transit,2010,0.04,0.0,1225.5264,0.703,Gaia DR2 2416782701664155008,11.297,9.69,,,,,0.85,1.21,82.5,,0.86,0.16,4.44,6.0,252.759,3.92919,4.6030424,-15.2674044
WASP-6 b,WASP-6,197.119,348.1571282,-22.6741248,11.54527,117.5971,3.36101,1184.0,5450.0,0.73,Transit,2009,0.04217,0.05,273.0273,0.326,Gaia DR2 2385171398768647552,11.907,10.325,,,,,0.37,1.03,88.47,1.7,0.55,-0.2,4.6,11.0,197.119,5.04464,348.1571282,-22.6741248
WASP-47 c,WASP-47,264.78,331.203092,-12.019067,,447.0,589.57,247.0,5565.0,1.156,Radial Velocity,2015,1.393,0.264,,,Gaia DR2 2613413008919918976,11.936,10.192,,,,,1.40641928208765,,90.0,111.8,1.058,0.43,4.3437,6.5,264.78,3.74964,331.203092,-12.019067
Kepler-24 c,Kepler-24,1156.81,290.4132621,38.3437283,2.514,9.99,12.33,915.0,6028.0,1.099,Transit,2011,0.10612,0.014,144.827,3.418442,Gaia DR2 2052823535171095296,15.04,13.372,,15.425,14.893,14.711,0.0314320550963212,0.22428444,78.63,,1.06,-0.0708,4.33,3.02,1156.81,0.836127,290.4132621,38.3437283
Kepler-1373 b,Kepler-1373,1699.46,285.7520229,39.2491731,1.16,1.65,1.29123275,1887.0,6299.0,1.33,Transit,2016,0.02598,0.0,8385.9,5.81,Gaia DR2 2100265950078767232,14.328,12.789,15.6804,14.373,14.0163,13.9191,,0.10348827,87.84,,1.22,0.03,4.27,2.51,1699.46,0.559563,285.7520229,39.2491731
Kepler-1104 b,Kepler-1104,530.658,294.4685197,49.3309789,1.23,2.04,5.03728015,1321.0,6417.0,1.41,Transit,2016,0.06321,0.0,813.524,6.02,Gaia DR2 2135002576119495936,12.125,10.971,,12.464,12.106,12.071,,0.10973325,80.72,,1.3,0.13,4.25,2.04,530.658,1.85697,294.4685197,49.3309789
HD 240210 b,HD 240210,372.405,347.6219227,57.0294818,12.8,1655.82,501.75,,4297.0,25.456816,Radial Velocity,2009,1.16,0.15,,4.34,Gaia DR2 2009148596857820160,8.270001,4.388,15.1321,12.4375,12.142,11.3934,,1.14,,277.59,0.82,-0.18,2.31,5.085,372.405,2.65698,347.6219227,57.0294818
CoRoT-5 b,CoRoT-5,882.472,101.2772396,0.8152163,15.558,148.42,4.0378962,1438.0,6100.0,1.186,Transit,2009,0.04947,0.09,786.2949,0.217,Gaia DR2 3125611120515388800,14.043,12.546,15.9996,14.716,13.9355,13.7711,0.467,1.388,85.83,-128.34,1.0,-0.25,4.19,6.9,882.472,1.1054,101.2772396,0.8152163
TrES-3 b,TrES-3,231.337,268.0291106,37.5463268,14.975,607.03,1.30618581,1638.0,5650.0,0.829,Transit,2007,0.02282,0.0,1025.5022,0.994,Gaia DR2 4609131509318715136,12.362,10.608,,,,,1.91,1.336,81.85,270.5,0.928,-0.19,4.4,0.9,231.337,4.29392,268.0291106,37.5463268
WASP-5 b,WASP-5,309.137,359.3490277,-41.2772202,12.184,502.15,1.6284279,1706.0,5700.0,1.029,Transit,2008,0.0267,0.038,1559.4762,1.64,Gaia DR2 6533307957785865856,12.147,10.598,,,,,1.58,1.087,86.9,34.38,0.96,0.09,4.395,5.4,309.137,3.20634,359.3490277,-41.2772202
HD 207832 c,HD 207832,58.9291,328.1517893,-26.0271749,14.0,232.0159,1155.7,,5710.0,0.901,Radial Velocity,2012,2.112,0.27,,0.465,Gaia DR2 6812056381881853056,8.78,7.207,,,,,,1.25,,121.6,0.94,0.06,4.502,1.36,58.9291,16.9408,328.1517893,-26.0271749
HAT-P-39 b,HAT-P-39,697.004,113.7582526,17.8300283,17.609,190.372,3.54387,1752.0,6430.0,1.625,Transit,2012,0.0509,0.0,1915.6934,0.19,Gaia DR2 3169391577586325120,12.282,11.157,15.2777,12.651,12.2927,12.2488,0.599,1.571,87.0,,1.404,0.19,4.16,2.0,697.004,1.40636,113.7582526,17.8300283
Kepler-46 c,Kepler-46,777.06,289.2687388,42.6041819,13.5,119.499,57.011,455.0,5155.0,0.938,Transit Timing Variations,2012,0.2799,0.0146,,0.267,Gaia DR2 2102700131386216576,15.312,13.347,,15.921,15.203,14.98,0.376,1.21,87.4,330.0,0.902,0.41,4.447,9.7,777.06,1.25859,289.2687388,42.6041819
Kepler-46 b,Kepler-46,777.06,289.2687388,42.6041819,9.057,1907.0,33.60134,543.0,5155.0,0.938,Transit,2012,0.1968,0.01,10.9,14.0,Gaia DR2 2102700131386216576,15.312,13.347,,15.921,15.203,14.98,6.0,0.808,89.038,264.2,0.902,0.41,4.447,9.7,777.06,1.25859,289.2687388,42.6041819
