gaia_id,ra,dec,main_id,simbad_names,star_names,common_name,has_common_name,object_type
44062348664673152,55.80935977114018,16.634436164118355,K2-84,LAMOST J034314.22+163804.3|Gaia DR3 44062348664673152|TIC 434133930|EPIC 210577548|K2-84|2MASS J03431422+1638044|Gaia DR2 44062348664673152|UCAC4 534-006868,LAMOST J034314.22+163804.3,LAMOST J034314.22+163804.3,True,*
47908509057301120,66.23636757327347,18.8273598171647,K2-87b,EPIC 210731500.01|K2-87b|EPIC 210731500 b,EPIC 210731500.01,EPIC 210731500.01,True,Pl
49842515651843200,58.2691801294634,17.906944380251698,K2-176,LAMOST J035304.59+175425.4|Gaia DR3 49842515651843200|TIC 440724456|EPIC 210667381|K2-176|2MASS J03530460+1754255|Gaia DR2 49842515651843200|UCAC4 540-007858,LAMOST J035304.59+175425.4,LAMOST J035304.59+175425.4,True,*
61607255708760960,52.34205731811381,22.29934714176724,K2-30,Gaia DR3 61607255708760960|WISEA J032922.08+221757.7|TIC 26017005|Gaia DR2 61607255708760960|2MASS J03292204+2217577|EPIC 210957318|UCAC4 562-007074|WISE J032922.08+221757.7|K2-30,WISEA J032922.08+221757.7,WISEA J032922.08+221757.7,True,*
95652018353917056,26.232401137403862,20.082682764562314,* 109 Psc b,HD  10697b|* 109 Psc b,HD  10697b,HD  10697b,True,Pl
102461087706561024,35.21356269596189,23.520428744370637,** TOI 5319A,** TOI 5319A|Gaia DR3 102461087706561024,** TOI 5319A,** TOI 5319A,True,PM*
123376685084303360,47.368947889327416,30.67337557168549,WASP-11c,WASP-11c|HAT-P-10c,WASP-11c,WASP-11c,True,Pl
149629483705467008,65.89749725525944,25.05066819065253,V* FU Tau,AP J04233539+2503026|Gaia DR3 149629483705467008|TIC 58544613|2MASS J04233539+2503026|AKARI-IRC-V1 J0423354+250300|Haro 6-7|SV* SON  5330|V* FU Tau|WISE J042335.39+250302.5|SSTtau 042335.3+250302|WISE J042335.40+250302.5|[RZP2017] J042335.38+250302.4|Gaia DR2 149629483705467008|UGCS J042335.39+250302.6|** MTZ    2A|WDS J04236+2503A,AP J04233539+2503026,AP J04233539+2503026,True,Or*
150054788545735424,62.67042446994373,24.401652798725866,WASP-152,LAMOST J041040.95+242407.3|LAMOST J041040.89+242406.0|Gaia DR3 150054788545735424|TIC 56399553|Gaia DR2 150054788545735424|TYC 1818-1428-1|2MASS J04104086+2424061|EPIC 211089792|K2-29|WASP-152|EPIC 21189792,LAMOST J041040.95+242407.3,LAMOST J041040.95+242407.3,True,*
151374202498079872,67.4231683715687,26.549386841787584,V* DH Tau B,V* DH Tau B|** ITO   13C|WDS J04297+2633C|NAME DH Tau B,DH Tau B,DH Tau B,True,LM*
156917493449670656,73.94104529388767,30.551085459021337,V* AB Aur,HIP 22910|Gaia DR3 156917493449670656|WISEA J045545.84+303304.0|TIC 96680681|2MASS J04554582+3033043|PLX 1098|XEST 26-043|[GBA2007] 2225|AAVSO 0449+30B|AG+30  462|BD+30   741|EM* MWC   93|FMC  5|GC  5998|GCRV  2908|GEN# +1.00031293|GSC 02387-00812|HBC  78|HD  31293|HIC  22910|IRAS 04525+3028|JP11   947|PPM  69756|RAFGL 5130|SAO  57506|SKY#  7693|SSV LDN 1517  1|SV* HV  3554|TD1  3698|TYC 2387-812-1|UBV M  10443|V* AB Aur|VDB  31|[KW97] 19-56|JCMTSE J045545.8+303305|JCMTSF J045545.8+303305|PLX 1098.00|PSCz P04525+3028|AKARI-IRC-V1 J0455458+303303|AKARI-FIS-V1 J0455460+303320|GBS-VLA J045545.85+303304.0|WISE J045545.83+303304.8|Gaia DR1 156917489152834688|uvby98 100031293|WEB  4447|Gaia DR2 156917493449670656,HIP 22910,HIP 22910,True,Ae*
164800235906366976,63.92834129141519,29.166539480549527,NAME IRAS 04125+2902 b,TOI-6963.01|TOI-6963b|NAME IRAS 04125+2902 b,IRAS 04125+2902 b,IRAS 04125+2902 b,True,Pl
178924390478792320,69.55234508139512,39.4579936460994,Gaia DR3 178924390476838784,TIC 662037581|Gaia DR3 178924390476838784,TIC 662037581,TIC 662037581,True,PM*
181908842994567936,78.29559292626563,33.317946334241604,HD  33643b,TOI-1682.01|TOI-1682b|KELT-7b|HD  33643b,TOI-1682.01,TOI-1682.01,True,Pl
224870885460646016,57.00186971669163,40.53073384375664,HD  23596b,HD  23596b,HD  23596b,HD  23596b,True,Pl
228532602782156288,66.70686180605233,42.90869537535159,HD  27969b,HD  27969b,HD  27969b,HD  27969b,True,Pl?
287622247440034688,82.88865417178877,64.31836242446292,HD  35759b,HD  35759b,HD  35759b,HD  35759b,True,Pl
289464440515102976,21.186177146844418,21.513064308317052,TOI-4515,TOI-4515|Gaia DR3 289464440515102976|TIC 456862677|TYC 1203-1161-1|2MASS J01244468+2130469|Gaia DR1 289464440515102976|Gaia DR2 289464440515102976,TOI-4515,TOI-4515,True,*
294517800251711616,19.16610369188811,25.331021492942842,,,,,False,
317350357498173312,21.53788528589299,34.5793271369492,HD   8673Ab,HD   8673Ab|HD   8673b,HD   8673Ab,HD   8673Ab,True,Pl
323386882492982144,21.871101210850217,38.968113285754754,HAT-P-53,TOI-3630|Gaia DR3 323386882492982144|TIC 189380158|Gaia DR2 323386882492982144|HAT-P-53|2MASS J01272906+3858053|GSC 02813-01266,TOI-3630,TOI-3630,True,*
325494788018024576,32.41739676487536,32.3164554232153,HD  13189,TIC 63564248|WISE J020940.16+321859.6|2MASS J02094015+3218591|UCAC4 612-006094|HIP 10085|Gaia DR3 325494788018024576|AG+32  193|AGKR  1885|BD+31   370|DO  9078|GSC 02313-00437|HD  13189|HIC  10085|IRAS 02067+3204|PPM  67016|SAO  55309|SKY#  3174|TYC 2313-437-1|Gaia DR2 325494788018024576|Gaia DR1 325494783722225408,TIC 63564248,TIC 63564248,True,*
343449606741529728,27.162822304521388,37.95275035937315,HD  10975b,HD  10975b,HD  10975b,HD  10975b,True,Pl
353030751066772480,32.94710393641228,45.92421765867808,BD+45   564b,BD+45   564b,BD+45   564b,BD+45   564b,True,Pl
363012289421389056,14.48696630960284,34.9853241664285,HD   5583,Gaia DR3 363012289421389056|TIC 53848538|2MASS J00575670+3459080|AG+34   71|BD+34   154|GSC 02285-00548|HD   5583|PPM  65804|SAO  54296|TYC 2285-548-1|Gaia DR2 363012289421389056|Gaia DR1 363012285125644288,TIC 53848538,TIC 53848538,True,PM*
382111248777193216,7.053937598100488,42.06134414126365,Qatar 5b,TOI-1463.01|TOI-1463b|Qatar 5b,TOI-1463.01,TOI-1463.01,True,Pl
439327810962983424,45.582575680475415,49.74414153557782,BD+49   827b,NAME TYC 3318-01333-1b|BD+49   827b,TYC 3318-01333-1b,TYC 3318-01333-1b,True,Pl
